feature_bin1,feature_bin2,target_bin,feature_reg1,feature_reg2,feature_reg3,target_reg,group,time,target_time_series
-1.2192354845954176,1.7292634353124554,0.0,0.6779699708965284,-1.2847277664174672,-0.3310243342080806,-3.6037170236279557,A,0.0,-0.726747111569426
0.5361835926033444,-0.06906257562587892,1.0,1.031380525277331,,-0.9702713259082388,-51.174065476919864,C,1.0,2.009120993732157
1.4226782110212597,1.921294470291741,1.0,-1.216896710340167,1.3633765135383398,-0.6051562356059974,-98.98318105360076,C,2.0,-4.395797973787247
0.9419152912477184,-0.9997071456095171,0.0,-0.5442961463142919,-0.5044226832971694,-1.5198927996189848,-155.79150503892473,B,3.0,0.08023291839248015
-0.320723138353328,-0.22224581754436157,1.0,0.20748879785218177,0.4456779070819239,0.42350787402203743,50.138903218444845,A,4.0,0.09271149922384936
-0.7135672624938654,,1.0,1.0587285298838789,-0.17280173739646437,0.7719201548366751,112.96213847210912,A,5.0,2.283783155482735
-0.0745851026866039,-0.43432571083704297,0.0,-0.5198341457252261,-1.332449780998205,0.6314186062724064,35.57292174789518,A,6.0,3.2948193676594
-0.9995312003018892,2.0075045233060775,1.0,-0.411024936503173,1.0216229840730389,-0.3787598366030933,-53.44307900483801,C,7.0,4.701222693133827
1.143360405417723,-1.048016045510835,0.0,-1.0578366186102344,0.2607668174830632,,-89.81099323947906,B,8.0,
1.3327740876540783,-1.311557601591535,1.0,-0.2573000006177896,1.0821123129931407,-0.12903411512978377,-23.286083282099817,C,9.0,-3.610624926503011
0.11916118261003805,0.1975627930270102,1.0,-0.02549412858519966,-0.21715880713685662,0.058370290817895645,11.586739876651963,A,10.0,-1.9794040868906482
,0.5748458502216205,1.0,-1.4947561464496442,0.13659739558875236,0.025385277972271716,-55.9443822418528,C,11.0,0.25022900111407687
1.8078244426798928,,1.0,0.5212157911887249,-2.0843316213428005,-0.5582302623977843,-34.539396103878296,,12.0,1.839842039070048
-1.0441256409105069,1.949274846646143,1.0,-1.4769249275319014,-0.7393714074590363,1.1918993344135729,51.64396447737372,A,13.0,
-0.9605440248000714,0.599232956822008,1.0,-0.9289264824607304,-0.5041286736516637,-0.07285768884105508,-45.35148463898117,A,14.0,-2.0279672742050634
1.972786133435898,3.1042981558225087,1.0,-0.29548031802916036,0.6969544045107356,-0.33381948975600995,-38.22842088583739,A,15.0,2.2664577103083703
